Gene Group,R1 MOCK 0h,R2 MOCK 0h,R1 LPS 0h,R2 LPS 0h,R1 MOCK 01h,R2 MOCK 01h,R1 LPS 01h,R2 LPS 01h,R1 MOCK 02h,R2 MOCK 02h,R1 LPS 02h,R2 LPS 02h,R1 MOCK 04h,R2 MOCK 04h,R1 LPS 04h,R2 LPS 04h,R1 MOCK 06h,R2 MOCK 06h,R1 LPS 06h,R2 LPS 06h,R1 MOCK 09h,R2 MOCK 09h,R1 LPS 09h,R2 LPS 09h,R1 MOCK 12h,R2 MOCK 12h,R1 LPS 12h,R2 LPS 12h
Dbnl,146.5778449,103.1405675,146.5778449,103.1405675,132.2709419,113.3771085,127.8246427,114.6134653,161.0606789,124.4138697,158.9783623,102.614996,130.66091,102.6741595,261.4710382,202.6612433,123.2087417,115.4136878,296.1474929,314.2685886,128.2429509,77.50145484,269.942595,242.1447511,116.3363726,124.7447552,223.6411244,191.1106473
Sh3gl1,55.06099943,71.6378651,55.06099943,71.6378651,41.39618286,56.20405335,43.69297494,65.16461802,52.63401717,74.77583317,43.52163112,45.01188335,56.07473657,58.97253089,33.89813955,42.6798238,47.25521278,65.18195097,23.03562369,37.98015838,45.59771176,35.12576603,32.41144447,55.60774485,50.57547017,54.28295585,42.57435033,39.54968369
Ostf1,474.7721132,342.3262001,474.7721132,342.3262001,515.5437979,490.749646,569.7781162,392.0982091,578.6532446,463.205568,483.0647028,439.8712537,571.3039818,501.8138962,505.9343881,392.9073125,540.7765365,387.722664,509.2711271,430.3625844,526.9917819,452.5304254,488.3301621,375.6375955,560.3671053,464.7889299,519.7602644,457.0380832
Cstb,3052.94344,3176.079684,3052.94344,3176.079684,3169.775656,3652.829997,2672.222317,2276.613651,2907.029431,3110.346353,2601.00733,2940.119249,3000.624825,3779.793167,2944.247275,2764.859369,3724.295252,2985.530804,3512.47269,3369.711554,4146.766279,3430.95332,3582.694017,3229.244656,4407.560715,3521.630253,3584.927096,4020.957544
Arid3a,24.69726158,39.0388317,24.69726158,39.0388317,26.77759789,28.21662821,19.6312873,46.52046605,31.05826649,46.75049011,18.7570769,20.98337781,46.76292721,38.38087589,16.18615377,21.29284591,28.98729304,51.09126034,24.18756993,30.72155621,32.26610672,41.25354953,30.56057119,69.40006695,32.20705729,36.7589499,33.76667063,57.28158446
Ndrg1,28.18427872,25.29472872,28.18427872,25.29472872,28.43891792,26.98608541,28.52120404,28.29187133,26.34418738,18.72976809,33.65155867,29.57864054,29.25876664,15.04705403,43.07825505,32.05268567,23.19076317,19.47107092,43.58032839,40.32003709,23.78941127,19.27871346,64.44696427,62.03292155,24.55533206,16.52976872,122.398385,103.0281027
Fkbp3,57.55474064,81.83904279,57.55474064,81.83904279,69.79922803,63.95140655,56.33536197,55.90794347,51.98806738,86.5902241,43.12657368,58.10833459,52.09465654,45.82786896,39.6605296,43.27602745,59.15824208,78.32247431,27.40333307,37.45256568,45.91176223,83.00491444,20.67981779,17.6503627,48.56031667,74.83686185,15.71663297,31.05446274
Vat1,465.9653567,408.618584,465.9653567,408.618584,411.1796241,494.6262794,372.9467066,268.0308669,441.6605277,425.8239653,489.3634484,483.0035606,413.7811215,563.6057748,424.8331988,411.1160913,480.9838778,440.1046352,365.2016178,340.0352547,498.4369124,512.2270549,367.4649196,311.4205091,447.7692324,459.9548779,409.3764019,336.8187964
Zyx,991.8201354,485.8245617,991.8201354,485.8245617,777.0006475,575.2225279,881.8651816,682.3300995,842.620798,614.05707,735.5700572,587.1085573,981.5909232,637.518335,681.9193331,434.0685775,987.8864691,558.9613274,736.3740428,561.8769987,948.0715059,609.8791856,766.6224887,553.780078,692.0598173,538.0377361,611.7114975,458.5814413
Ppp3r1,179.3820478,120.8219775,179.3820478,120.8219775,178.9706352,131.5260286,151.9635169,166.3869386,155.6003446,132.2116678,160.8832652,139.6351378,183.3693192,139.7191771,101.4962631,71.8778381,163.3799954,120.653983,108.7029727,85.72605738,178.6866914,88.76164461,146.8437958,82.78296345,152.5062844,116.2807297,153.5181934,93.26781404
