Gene Group,D0.R1.ESTIMATE,D0.R1.CI.LOW,D0.R1.CI.HI,D0.R2.ESTIMATE,D0.R2.CI.LOW,D0.R2.CI.HI,D(MOCK).R1.ESTIMATE,D(MOCK).R1.CI.LOW,D(MOCK).R1.CI.HI,D(MOCK).R2.ESTIMATE,D(MOCK).R2.CI.LOW,D(MOCK).R2.CI.HI,D(LPS).R1.ESTIMATE,D(LPS).R1.CI.LOW,D(LPS).R1.CI.HI,D(LPS).R2.ESTIMATE,D(LPS).R2.CI.LOW,D(LPS).R2.CI.HI,T0.R1.ESTIMATE,T0.R1.CI.LOW,T0.R1.CI.HI,T0.R2.ESTIMATE,T0.R2.CI.LOW,T0.R2.CI.HI,T(MOCK).R1.ESTIMATE,T(MOCK).R1.CI.LOW,T(MOCK).R1.CI.HI,T(MOCK).R2.ESTIMATE,T(MOCK).R2.CI.LOW,T(MOCK).R2.CI.HI,T(LPS).R1.ESTIMATE,T(LPS).R1.CI.LOW,T(LPS).R1.CI.HI,T(LPS).R2.ESTIMATE,T(LPS).R2.CI.LOW,T(LPS).R2.CI.HI,M0.R1.ESTIMATE,M0.R1.CI.LOW,M0.R1.CI.HI,M0.R2.ESTIMATE,M0.R2.CI.LOW,M0.R2.CI.HI,grass.R1.ESTIMATE,grass.R1.CI.LOW,grass.R1.CI.HI,grass.R2.ESTIMATE,grass.R2.CI.LOW,grass.R2.CI.HI
Rpe,0.006319367,0.002971321,0.013439949,0.017612576,0.008679919,0.035737988,1.338923217,0.804927906,2.22717509,1.84832764,0.868996661,3.931332788,1.235943535,0.750261725,2.036031389,1.243927801,0.605852966,2.554013037,0.008060479,0.00339664,0.019128115,0.006939285,0.001461774,0.032941949,1.211594275,0.79109541,1.855605111,1.26370088,0.750680286,2.127323634,1.23936768,0.808401734,1.900085294,1.251222696,0.744371807,2.103193888,118.8145564,114.6813929,123.0966809,133.1250595,123.3308739,143.6970397,14.0548476,12.05689152,16.3838864,12.51755837,9.531882515,16.43843881
2010305A19Rik,0.042601843,0.020664515,0.08782771,0.011063029,0.002630199,0.046532825,1.274773353,0.780421551,2.082268359,1.467629974,0.669648642,3.21651924,1.517687112,0.912915609,2.523096489,1.500563281,0.680775308,3.307537943,0.004737934,0.000526513,0.042635249,0.003156681,0.000324632,0.030695137,1.212017011,0.786496741,1.867757563,1.256514666,0.744623015,2.120306617,1.211669924,0.786321891,1.867103057,1.256464419,0.744590475,2.120229695,7.678550545,4.770287014,12.35987233,5.987457762,1.245196318,28.79036016,4.017368439,1.66586554,9.688206396,5.352446868,0.98549147,29.07045706
Cdk5rap3;AK188991,0.00819563,0.002482347,0.027058403,0.010017792,0.003005659,0.03338907,1.285583946,0.770445789,2.145155579,1.375687958,0.640189009,2.956185329,1.320550645,0.787350688,2.214837724,1.591092683,0.712970424,3.550744657,0.006402318,0.00244928,0.016735393,0.002911685,0.000495366,0.017114458,1.277472321,0.828637652,1.969419959,1.267591418,0.751063185,2.139351302,1.1567501,0.757409562,1.76664101,1.244833553,0.739528601,2.095403168,10.67664423,9.469066084,12.0382233,16.98199109,15.18854724,18.98720246,3.445194581,2.609457745,4.548594712,3.302909681,2.643954315,4.126097147
Rbm7,0.05835157,0.038075365,0.089425424,0.067733493,0.04481544,0.102371549,1.196604415,0.753925196,1.899209807,1.441645639,0.784446546,2.649437567,1.721223358,1.076093308,2.753116134,2.929507367,1.6884479,5.082782485,0.005498646,0.003086561,0.009795726,0.005765236,0.002614612,0.012712384,1.199224681,0.784811619,1.832465017,1.223334443,0.733641669,2.039888441,1.19821779,0.78363311,1.832140391,1.287263002,0.765331621,2.16513468,8.821568072,6.949817649,11.1974252,10.2937346,8.285905803,12.78809759,2.412667432,1.034770334,5.625368206,6.183943227,4.298970686,8.895420933
Pdhb,0.004721256,0.001991048,0.011195235,0.008331638,0.004244261,0.016355309,1.114143787,0.678318633,1.829990092,0.998252105,0.499559334,1.994772588,1.613813921,0.911827375,2.856237312,2.627700862,1.188068901,5.81179409,0.007626744,0.002471574,0.023534488,0.005481595,0.001577979,0.019042007,1.204612484,0.784844433,1.848890272,1.329453787,0.786089963,2.248403434,1.205442625,0.784992564,1.851090047,1.171876808,0.702159659,1.955816225,319.0116661,307.9992132,330.4178671,413.8510698,396.7124987,431.7300527,39.07727705,33.17793823,46.02557191,42.51018195,38.5352024,46.89518821
Arfgap3,0.033555974,0.022716178,0.049568348,0.02108662,0.010380367,0.042835242,1.215710806,0.767871603,1.924739447,1.412989664,0.681263471,2.930642659,1.29095613,0.813186854,2.049427782,1.635989704,0.779713615,3.432622263,0.015032003,0.006288792,0.035930767,0.0079624,0.001382846,0.045847333,1.308540074,0.844783397,2.026883024,1.290047745,0.762891862,2.181466691,1.222102501,0.798092915,1.871379255,1.248667894,0.742559488,2.099726062,9.79286191,8.287823698,11.57120951,7.305271788,5.802372,9.197444753,3.270882182,1.991986171,5.370855684,3.22290835,1.961212148,5.296284874
Ipo7,0.009182199,0.002540412,0.033188631,0.004064832,0.001295299,0.012756018,1.355666462,0.8018321,2.292040385,1.520678139,0.681979998,3.390806194,1.263968302,0.758738248,2.105621897,1.216923112,0.575856186,2.571652259,0.001603312,0.000565657,0.004544463,0.001389657,0.000473592,0.004077658,1.126100609,0.735636806,1.723816115,1.211146398,0.724527027,2.024597487,1.25902889,0.811899516,1.952401392,1.275703103,0.756487446,2.15128277,1.709217699,1.360366347,2.147528235,3.172411963,2.7008096,3.726363259,0.93235241,0.640732281,1.356699269,1.206037086,0.914695503,1.590174486
Qtrt1,0.017988489,0.004480523,0.072220526,0.009664535,0.002802859,0.033324271,1.35284777,0.802588106,2.280369063,1.391073086,0.6456779,2.996980895,1.303360762,0.779447537,2.179427346,1.504945219,0.685391888,3.30447464,0.006497605,0.00115546,0.036538589,0.002898676,0.000434898,0.019320196,1.20290877,0.782108348,1.850113878,1.276287208,0.754339481,2.15938457,1.226437525,0.793992927,1.894411087,1.231852153,0.732909509,2.07045987,8.136248569,6.476910266,10.22069753,10.60242859,9.281354974,12.11153893,5.474709672,4.35718118,6.878861528,4.533229843,3.744330926,5.488343101
Timm8a1,0.005773314,0.002031774,0.016404954,0.008823854,0.004073426,0.019114232,1.217692592,0.735159453,2.016943729,1.340502594,0.642340016,2.797501574,1.377138763,0.813847966,2.330301545,1.841168217,0.840351177,4.033909268,0.011451824,0.005597733,0.023428104,0.003364465,0.000339328,0.0333589,1.220187423,0.794873437,1.87307473,1.251946562,0.742689762,2.110396932,1.2562996,0.809350789,1.950067518,1.256833944,0.744769848,2.12096605,485.0497283,462.0184983,509.2290456,427.7758057,405.5364537,451.2347491,22.36090196,18.94772152,26.38892153,39.70186873,30.82192921,51.14015966
Bcas3,0.008393902,0.001966088,0.035836441,0.009606282,0.002303829,0.040055333,1.311399052,0.781145845,2.201595877,1.443235629,0.661711761,3.14778912,1.29025721,0.771187356,2.158701976,1.403782157,0.647963861,3.041225693,0.002894779,0.001710762,0.004898252,0.005433193,0.003992191,0.007394332,1.15046343,0.758155603,1.745771052,1.376761652,0.887638948,2.135409504,1.261623826,0.816311064,1.949862923,1.654973813,1.066384437,2.568434259,4.06555016,3.108943376,5.316500207,6.209071069,4.552592952,8.468264995,0.896280108,0.69368768,1.15803993,0.838909644,0.608883165,1.155836506
Scfd2,0.008677648,0.003648682,0.020638024,0.008942661,0.004048675,0.019752432,1.253280035,0.757346954,2.073964697,1.249102493,0.603234687,2.586484284,1.324533003,0.794953267,2.206906679,1.731821956,0.799294214,3.752319527,0.002993113,0.001064344,0.008417134,0.001094852,0.000350807,0.003416984,1.201762483,0.782861827,1.84481222,1.266537781,0.75310173,2.130014958,1.21672137,0.78919433,1.875850897,1.189008631,0.712112593,1.985278085,4.472652381,4.160014515,4.808785944,5.50395978,5.215405676,5.808478791,0.948139127,0.730417366,1.230759079,0.93176564,0.793569851,1.094027459
Cse1l,0.007651174,0.002857382,0.020487449,0.009881932,0.003881647,0.025157511,1.300688851,0.780355558,2.16797519,1.549621992,0.715001436,3.358494398,1.275225338,0.767123419,2.119867054,1.441705036,0.674828807,3.080060288,0.003925007,0.000531811,0.028968326,0.003357859,0.000322196,0.034994868,1.204253727,0.7824193,1.853516444,1.256299825,0.744541603,2.119813379,1.215246313,0.788115271,1.873867513,1.258964921,0.745682593,2.125559437,878.0190189,832.2809623,926.2706135,659.0051066,615.0762212,706.0714031,82.48362033,73.25147802,92.87932212,99.75789716,86.11927431,115.556455
Rps18,0.004198051,0.001572865,0.011204794,0.004587666,0.002064807,0.01019305,1.340854863,0.798390683,2.251894718,1.868819222,0.836894032,4.173151139,1.193632258,0.722320419,1.972473614,1.136351607,0.554086804,2.330492198,0.001432168,0.000875778,0.002342039,0.000763394,0.000566009,0.001029612,1.0708771,0.711981937,1.610683788,0.683662064,0.447674605,1.044048092,1.304160406,0.851031951,1.99855524,3.654221954,2.484352758,5.374976658,544.2782293,523.4746539,565.9085664,548.2778457,532.8926703,564.1072074,48.67460667,38.37295548,61.74185192,30.76857077,26.8063976,35.31638086
Arhgef2;mKIAA0651,0.024563118,0.018673838,0.032309734,0.024573789,0.016772711,0.036003189,1.77966342,1.185409655,2.671820559,1.93043649,1.076517748,3.461703299,0.993828274,0.649565734,1.520546093,1.234698247,0.663274925,2.298413078,0.005027834,0.002581865,0.009791027,0.00373412,0.002357527,0.005914525,1.185382037,0.779309524,1.803045556,1.078032563,0.671458965,1.73078962,1.294899862,0.84131131,1.993038288,1.468457132,0.903402478,2.386938716,25.38175737,23.58049217,27.3206175,24.46374444,23.22118638,25.77279138,9.579860783,7.936528378,11.56346053,7.814512074,6.932394375,8.808875498
Zw10;MmZW10,0.026214721,0.012373759,0.055537817,0.017546639,0.008594932,0.035821638,1.413434693,0.845167123,2.363790043,1.607910041,0.764019213,3.3839132,1.277651261,0.772914832,2.111995624,1.577192457,0.750085684,3.31633585,0.000764417,0.000293797,0.001988901,0.000502971,0.000173109,0.00146139,1.140503035,0.74591872,1.743818915,1.232235021,0.73480288,2.066408812,1.23361924,0.79847167,1.905911614,1.190280103,0.7137552,1.984947674,4.598631709,4.004303142,5.28117199,4.086182332,3.56592226,4.682347184,1.753032678,1.392376786,2.207106296,1.000862637,0.628263813,1.594435326
Tgfb1,0.080930636,0.054729397,0.119675498,0.0464832,0.027253618,0.079280773,1.565444442,0.973486893,2.517359319,1.534116812,0.774856516,3.037355104,1.046253585,0.654918955,1.671422937,1.533033071,0.769684036,3.053448283,0.001779228,0.001282765,0.002467834,0.002224683,0.001632823,0.003031078,1.086232714,0.736826089,1.601329714,0.997789445,0.64194572,1.550884673,1.578953167,1.015952239,2.453947153,1.665566608,1.057758596,2.622632552,8.583743289,7.396981297,9.96090782,4.602999292,3.911436566,5.416833974,2.565671678,1.744429322,3.773538475,2.151138117,1.636383344,2.827818564
Eno1;Gm5506;AK180697,0.004968355,0.002266755,0.010889819,0.004101329,0.001890204,0.008898984,1.294414657,0.780767542,2.145977149,1.406370242,0.669664934,2.953532664,1.233679821,0.748138522,2.034337032,1.285381785,0.619296485,2.667876169,0.011315417,0.006764346,0.018928461,0.014734667,0.007813072,0.027788095,1.175894053,0.777927593,1.777449261,1.354757117,0.814963587,2.252084483,1.288270905,0.845068662,1.9639137,1.262793796,0.76149504,2.094101849,11049.39262,10765.89516,11340.3554,12067.03815,11806.94181,12332.86418,892.0010917,850.5814698,935.4376691,853.0540736,811.0743213,897.2066226
Ccl5,0.10873243,0.031685103,0.37313249,0.017378106,0.001775971,0.170047041,1.329079946,0.788610835,2.239955913,1.416805263,0.648545103,3.095138865,1.729824806,1.046427927,2.859531731,1.865623319,0.687960354,5.059231027,0.00353152,0.002251638,0.005538915,0.004552736,0.003265401,0.006347583,1.158648417,0.760342636,1.765606834,1.214557246,0.728290959,2.025494461,0.992875471,0.631697449,1.560559889,0.832404825,0.506461949,1.368114216,12.84139046,1.896472116,86.95161273,17.13284433,3.531200799,83.12593122,42.5473651,29.94297476,60.45752939,52.99283849,34.21871136,82.06740756
Mapkapk2,0.022552546,0.013896428,0.036600581,0.018181701,0.011161861,0.029616409,1.345084499,0.825989515,2.190405903,0.951572718,0.4923596,1.839083948,1.383520356,0.849745489,2.252590453,2.355913148,1.239853505,4.47659884,0.005916913,0.004649135,0.007530403,0.009200889,0.007120758,0.011888672,0.944061282,0.653541147,1.363726995,1.026086478,0.665402322,1.582281012,1.715966687,1.183363209,2.488282251,2.807350873,1.927216443,4.089431134,61.66253077,57.40850846,66.23177997,68.50020445,64.88593886,72.31579124,6.893331748,4.883508059,9.73030494,5.048567941,3.221090524,7.912859967
Ruvbl1,0.00830719,0.003502101,0.019705145,0.006110344,0.002253084,0.0165712,1.248439928,0.754684425,2.065237075,1.377518844,0.645151077,2.941261721,1.354680563,0.810001045,2.265626,1.508011897,0.691972489,3.286402157,0.003394639,0.000558846,0.020620326,0.002483049,0.000339068,0.018183751,1.203533593,0.782182664,1.851860411,1.249010024,0.741382966,2.104210793,1.213790463,0.787436921,1.87099087,1.249380046,0.741433223,2.105315019,190.5991136,181.5023971,200.1517482,175.8307534,166.8402427,185.3057353,30.78132835,28.21737319,33.57825581,25.90778676,23.78474381,28.22033401
Ywhaz,0.002754013,0.001151362,0.006587496,0.002942142,0.001366075,0.006336546,1.270631908,0.765418718,2.109310119,1.48703538,0.701608454,3.151721174,1.222618938,0.740010828,2.019966479,1.180236278,0.574454829,2.424834123,0.092453659,0.076733758,0.111393986,0.06136737,0.050529691,0.074529529,1.031290999,0.745729358,1.426202565,1.361377236,0.97843889,1.894188791,2.179085713,1.671358877,2.841050243,3.290108958,2.560160362,4.228179265,5337.927274,5235.120928,5442.752512,5661.795856,5570.15024,5754.949316,215.172745,190.6413209,242.860834,210.9409763,193.1856365,230.328177
Ppp4c,0.033971027,0.019393983,0.059504573,0.021427817,0.013439015,0.034165549,1.270911654,0.776467056,2.080212446,0.948588153,0.490840935,1.833220133,1.322482384,0.805530276,2.171190468,3.354320722,1.824421531,6.167142469,0.00075805,0.000287348,0.001999802,0.00029596,9.54E-05,0.000918387,1.188435705,0.776122241,1.819789913,1.20258467,0.719564717,2.009839913,1.200439034,0.782119129,1.842499207,1.254546781,0.744586322,2.113774561,15.41929798,13.8594863,17.15465818,11.91050569,11.13984487,12.73448126,3.487587302,2.701378413,4.502614342,4.792328965,4.267646682,5.381517875
Smarca4,0.020768611,0.012835746,0.03360422,0.012394397,0.005935147,0.02588328,1.48853402,0.907070544,2.44273562,1.258948289,0.611224304,2.593075542,1.24873291,0.770163091,2.024680094,2.105257181,0.952980178,4.650786974,0.003028236,0.001580975,0.005800354,0.001415203,0.000682732,0.00293351,1.064001622,0.703253182,1.609803524,1.337897769,0.797387188,2.244794585,1.401715064,0.898100639,2.187733795,1.211640424,0.731478731,2.006992758,15.45933626,14.33374023,16.67332278,14.05584032,12.99345982,15.20508393,4.698358246,3.935731456,5.608759249,3.393111771,2.7728871,4.152065006
Gab2,0.019082864,0.007064198,0.051549478,0.014911527,0.003762788,0.059092792,1.438005288,0.848476508,2.437143739,1.614272872,0.718208377,3.62830202,1.254637698,0.756334961,2.081241558,1.366928769,0.635209828,2.941538649,0.001978926,0.000784219,0.004993689,0.000888186,0.000325489,0.002423659,1.171892568,0.766789171,1.791016676,1.261601975,0.751219032,2.118742305,1.24717572,0.811101086,1.917698429,1.256208762,0.749670975,2.105004071,2.024741341,1.719480105,2.384195947,1.736132083,1.462819654,2.060510058,1.285806013,1.072812411,1.541086854,0.80510607,0.685424401,0.945685306
Ptpn18,0.038655591,0.028102519,0.053171557,0.045579547,0.035389451,0.058703796,1.654628279,1.060082706,2.58262372,1.77033368,1.136681627,2.75722002,0.905876603,0.585157897,1.402377759,0.681214897,0.391513031,1.185282991,0.003017625,0.000595876,0.015281797,0.018088636,0.014112391,0.02318521,1.205985307,0.783840671,1.855479836,1.044567461,0.692574644,1.575456437,1.221722918,0.791420674,1.885984202,2.068808059,1.39931339,3.058619188,22.01767389,20.12741366,24.08545736,19.97817252,19.17075086,20.81960065,6.360041846,4.82169099,8.389200464,1.447367828,0.977005054,2.144178907
N4bp1,0.054434808,0.02254918,0.131408255,0.074564312,0.04081168,0.136231506,1.239421876,0.755736461,2.032674967,1.524212208,0.779034925,2.982180618,1.435077188,0.862331262,2.388231328,1.819925671,0.924404495,3.582987172,0.002783092,0.001095716,0.007068988,0.00166041,0.000641884,0.004295113,1.245140222,0.806091141,1.923323671,1.23521399,0.736417688,2.07185898,1.165127847,0.761000955,1.783864912,1.255531708,0.750122379,2.101470258,1.164106007,0.673965865,2.010699451,1.926319557,1.396513002,2.657123157,0.646458896,0.242496702,1.723359948,0.933836157,0.481821035,1.809904311
Tmsb10,0.015323751,0.009809605,0.023937492,0.012063685,0.006867158,0.021192535,1.446624111,0.890634792,2.349696348,2.139502552,1.060985116,4.314359458,1.106142916,0.691683369,1.768948343,0.952155165,0.485784984,1.866256653,0.005064135,0.001709009,0.015006045,0.010458282,0.00762074,0.014352366,1.152442508,0.753057049,1.763642923,0.901775416,0.583408186,1.3938764,1.277489342,0.824510411,1.979331005,2.076401236,1.383796619,3.115661677,14621.93673,14052.91721,15213.99652,16687.35689,16066.57584,17332.12371,1503.968359,1258.568861,1797.21658,899.482615,756.3037637,1069.76722
Enoph1,0.009714001,0.003355561,0.028121023,0.005180525,0.001996527,0.013442261,1.328767676,0.793628435,2.224748332,1.539021544,0.703984037,3.364546907,1.283310714,0.770651271,2.137005998,1.261984685,0.600404349,2.652554646,0.005215653,0.002843475,0.009566826,0.002095857,0.000903781,0.004860268,1.130097773,0.742374466,1.720319104,1.210798462,0.72689646,2.016838705,1.322843471,0.849806392,2.059192384,1.304118595,0.770848298,2.206303516,15.48380418,14.13796596,16.95775704,17.74810904,17.0094971,18.51879411,1.775700091,1.159834553,2.71858672,2.464651522,2.128625302,2.853723066
Camk1d,0.036024431,0.010239608,0.126739193,0.020894957,0.00327899,0.133150541,1.313487534,0.78694966,2.192325112,1.643038565,0.708351783,3.811066469,1.351944514,0.807473972,2.263545369,1.447064762,0.659318682,3.176000446,0.004491469,0.000528927,0.03814002,0.003116084,0.000327674,0.029633053,1.211965245,0.786479945,1.867637903,1.256275219,0.744532221,2.11975705,1.211770962,0.786353653,1.867339027,1.256434401,0.744589092,2.120132326,10.53005598,4.320424499,25.66462598,2.399452974,0.500865668,11.4948477,14.75311428,8.091604543,26.89879118,13.35797777,10.41831192,17.12710961
Ccar1,0.015772315,0.010120813,0.024579639,0.003441901,0.001257208,0.009423012,1.196629497,0.744708976,1.922794272,1.275335498,0.603458648,2.695264437,1.674135182,1.018086921,2.752936463,1.425999082,0.659249877,3.084525997,0.001310226,0.000754131,0.002276384,0.001229554,0.000935789,0.00161554,1.233741973,0.813290113,1.871557553,1.887364175,1.277688714,2.787958828,1.247527838,0.813609273,1.912866237,1.138389457,0.738454648,1.754922336,25.86826129,24.72164753,27.06805609,23.82126749,22.83125587,24.85420811,4.42100461,3.878048542,5.039978627,2.387540243,2.049848548,2.780863209
Nup133,0.010621499,0.003491767,0.032309217,0.013278505,0.004222267,0.04175925,1.298014571,0.777859046,2.165998885,1.417864077,0.658605748,3.052415726,1.323218812,0.790263361,2.21560066,1.68207568,0.746233057,3.791548188,0.001250948,0.000337825,0.004632186,0.001138902,0.000236757,0.0054786,1.192162567,0.776268505,1.830876273,1.240763282,0.737609698,2.087138397,1.202635448,0.781845834,1.84989413,1.237057242,0.73569456,2.080089623,4.229482783,3.843029183,4.654798014,7.533707141,6.651509048,8.532912288,1.524414895,1.333013093,1.743299285,2.997576833,2.670011285,3.365329174
Erlec1,0.019621264,0.005869644,0.065590695,0.00882113,0.00306044,0.025425208,1.283605664,0.769058293,2.142416923,1.399188742,0.652979258,2.998149041,1.383796799,0.820438622,2.333987615,1.544255903,0.688704039,3.462628586,0.002515389,0.000632759,0.009999357,0.0026115,0.001558178,0.004376863,1.209771197,0.785685011,1.862764758,1.23383803,0.747382776,2.036916469,1.197944198,0.779750557,1.840422284,1.245879984,0.742580761,2.090300498,4.471723003,3.72186927,5.372651525,4.135577996,3.866730058,4.423118528,0.726132706,0.338933113,1.555671863,0.363768083,0.246323121,0.537209897
Exosc4,0.002947129,0.001131141,0.007678592,0.00470691,0.002476488,0.008946135,1.233086699,0.744279557,2.042918946,1.166019808,0.576275821,2.359290711,1.349974116,0.801139971,2.274796138,2.287272719,1.050168808,4.981690994,0.00295566,0.001057348,0.008262106,0.002627033,0.000522749,0.013201947,1.131079414,0.73775834,1.734091735,1.268438544,0.75218933,2.139004472,1.302886377,0.831796088,2.040780109,1.234215611,0.734671476,2.073427681,27.73912496,26.86598689,28.64063981,47.25218624,45.78615129,48.76516243,2.230293566,1.775276393,2.801935187,4.256564586,3.328323234,5.443684641
Grpel1,0.006844585,0.002880078,0.016266342,0.007500812,0.003414942,0.016475296,1.206929874,0.731786097,1.990581301,1.061942891,0.52205776,2.160149299,1.464458803,0.858738442,2.497430511,2.364023919,1.010452961,5.530795892,0.042776248,0.013679306,0.13376464,0.003611805,0.00031826,0.040988905,1.226597701,0.798584198,1.884011635,1.267489759,0.749133857,2.144516995,1.267613158,0.821234018,1.956620263,1.251531335,0.742387224,2.109856732,364.356177,348.7519368,380.6585993,372.6902889,355.9991261,390.1640235,36.71015228,31.27869954,43.08476056,39.11105821,35.62003831,42.94422317
Txndc12,0.013373922,0.007827095,0.022851621,0.015358668,0.008355106,0.028232879,1.292349481,0.791141604,2.11108501,1.291112208,0.636732186,2.618009222,1.444531986,0.875060917,2.384602736,1.928985601,0.928078641,4.009342835,0.037004334,0.01909025,0.071728801,0.009636218,0.002928465,0.031708322,1.210007564,0.79238102,1.847745301,1.403049134,0.821359094,2.396694558,1.256574125,0.819684936,1.926323717,1.215065098,0.727670439,2.02891737,302.405633,287.0864352,318.5422773,266.8862791,252.329451,282.2828873,21.63417658,13.94202838,33.57026565,20.59819579,17.21004626,24.65337184
Srsf9,0.021725316,0.013206945,0.035737968,0.022143827,0.013001274,0.037715464,1.278431172,0.785982785,2.079417377,1.239655925,0.621996166,2.470669268,1.47552773,0.896414335,2.42876759,2.272981968,1.132996658,4.559984346,0.00211685,0.001331644,0.003365055,0.001579502,0.000790997,0.003154029,1.071230444,0.710384447,1.615371323,1.298486379,0.780261456,2.160899865,1.510700585,0.949089247,2.404638198,1.258417291,0.751663424,2.106812741,25.98491646,24.04797999,28.07786282,33.78571817,31.07485737,36.7330649,4.234884367,3.085111936,5.813158801,5.875368717,4.245104673,8.131709398
Rexo2,0.002126563,0.00083979,0.005385001,0.004071101,0.001970125,0.008412592,1.25108406,0.753792052,2.07644976,1.304708448,0.630430844,2.700159978,1.254425533,0.755511442,2.082805541,1.592204579,0.748364373,3.387541571,0.003498055,0.001724287,0.007096494,0.003244817,0.00200199,0.005259186,1.088850509,0.713412253,1.661865809,1.121987976,0.688045913,1.829611939,1.314683912,0.842611652,2.051234141,1.164663334,0.714536758,1.898349758,225.622733,220.0437373,231.3431786,213.0768715,207.9547045,218.3252035,31.62949637,28.20506812,35.46969063,21.38404885,18.79284388,24.33253574
Acox3,0.018330251,0.010184886,0.032989873,0.018099659,0.010895202,0.030068065,1.292105068,0.787943072,2.118852954,1.363853936,0.685339446,2.714125926,1.353528209,0.821505749,2.230098347,2.101149172,1.063303219,4.151993303,0.010473433,0.005893537,0.01861239,0.0020085,0.000428872,0.00940623,1.23804448,0.814228021,1.882463014,1.330318277,0.777329376,2.276701194,1.189703643,0.784334127,1.804581378,1.191060834,0.711244737,1.994567886,115.149307,108.2454357,122.4935058,122.3390849,116.2798874,128.7140195,19.13551465,17.32478405,21.13549697,18.48720587,17.30670017,19.74823493
Edf1,0.210555147,0.124434442,0.356279734,0.16798944,0.116639269,0.241946407,0.889950105,0.572778568,1.382752836,1.05662509,0.562063301,1.986353813,1.644664792,0.827319654,3.269500809,4.111582048,1.984350465,8.519214339,0.009808946,0.005575982,0.017255331,0.004435785,0.000284971,0.069046351,1.245622622,0.81642531,1.900450287,1.262436925,0.747110906,2.13321339,1.442574683,0.914019831,2.276779614,1.25584088,0.744334939,2.118852998,21.02197711,17.44559491,25.33152489,22.51880556,19.4279231,26.10143151,11.58463935,7.69415485,17.44231452,9.395310758,6.680675998,13.21301381
Bub3,0.018034824,0.011400886,0.028528913,0.023067099,0.015873309,0.033521117,1.207408626,0.749062705,1.946213022,0.892538095,0.476533378,1.671707143,1.476691733,0.904785884,2.410093387,3.646121473,2.209317285,6.017334808,0.0093152,0.005090953,0.017044542,0.005521982,0.001982943,0.015377289,1.202191989,0.789279766,1.831119511,1.333338872,0.791390548,2.246416199,1.302048511,0.839483987,2.019490962,1.276636628,0.756140177,2.155421879,103.606896,98.01645539,109.5161915,137.0478133,131.3237749,143.0213466,18.34722969,15.07776061,22.32565206,23.23174072,19.68430607,27.41848124
Jak1,0.091612395,0.055344249,0.151647751,0.209842134,0.126707166,0.347523527,1.178084508,0.735989206,1.885738402,1.087829301,0.561271982,2.108376377,1.255443266,0.777522939,2.027127067,1.895071062,0.931460173,3.855553283,0.004878339,0.003724359,0.006389876,0.008485731,0.005086177,0.014157517,1.248009787,0.859943469,1.811198626,1.303795631,0.794059692,2.140749701,1.392832432,0.962653401,2.01524472,1.371777258,0.82920431,2.269371761,2.437416153,1.950293883,3.046206295,7.571375242,6.213251858,9.226363965,0.677461417,0.382354501,1.20033626,3.399102599,2.391366247,4.83150521
Zranb2,0.011445424,0.003945581,0.033201123,0.017226537,0.004908499,0.060457098,1.336837933,0.798079408,2.239295538,1.581896791,0.719313162,3.478870665,1.249215387,0.752542698,2.073688427,1.519435483,0.687989205,3.35569827,0.002511113,0.001202057,0.005245745,0.000625453,0.000230319,0.001698478,1.156266725,0.758021651,1.763739514,1.16781014,0.700409071,1.947120019,1.246405578,0.8093283,1.919526185,1.21769383,0.727766418,2.037437051,15.08321368,13.74025496,16.55743183,6.913588634,5.876610572,8.133550321,2.462957035,1.821513021,3.330284925,2.173378662,1.775876269,2.659855807
Tbck,0.018680999,0.0080255,0.043483863,0.020034696,0.007859545,0.051070263,1.249951037,0.756161358,2.066196026,1.527034149,0.710876143,3.280224431,1.33561218,0.802445738,2.223028688,1.551159654,0.721406268,3.335286065,0.00477023,0.000731567,0.031104579,0.002113709,0.000325654,0.013719362,1.203504008,0.782290747,1.851513522,1.251677623,0.742605325,2.109730188,1.221408139,0.791619662,1.88453864,1.248044639,0.740896968,2.10233742,2.359710948,1.931804092,2.882401886,2.179778795,1.752494124,2.711241955,1.343254728,0.974117227,1.852275285,0.844041022,0.525337608,1.356090324
Gbe1,0.005190994,0.001917878,0.014050116,0.004021454,0.001835258,0.008811891,1.28890099,0.773560347,2.147558063,1.637801338,0.752760026,3.563410819,1.259872455,0.758595185,2.092392142,1.380250627,0.655917803,2.904467277,0.011042498,0.00440298,0.027694143,0.005821884,0.000570006,0.059463077,1.251259347,0.81278923,1.926268086,1.257819341,0.745889873,2.121103331,1.222784551,0.798473013,1.872576824,1.265385462,0.750177838,2.134427715,24.9795074,23.44155401,26.61836283,22.23642197,20.87245749,23.68951823,5.893388871,4.754293915,7.305402865,4.427675655,3.284342536,5.969021652
Zc3hc1,0.023283263,0.014766519,0.036712128,0.017266603,0.010174131,0.029303295,1.370181023,0.842676932,2.227895372,1.837091494,0.915188805,3.687660009,1.333355226,0.820997979,2.16545741,1.430907468,0.71607233,2.85934269,0.003240439,0.00120784,0.008693574,0.007279142,0.003776409,0.014030766,1.171024434,0.765229604,1.792008855,1.138860085,0.689116273,1.882124024,1.215444042,0.791632126,1.86614991,1.317657237,0.790118349,2.197418396,11.54005597,10.84873852,12.27542644,11.52264211,10.86472954,12.2203945,1.72782586,1.428959417,2.089200133,1.454818531,1.13784503,1.860092457
